PARKINGLOT_NO,NAME,ADDRESS,TEL,LAT,LOG
1,구청앞주차장,서울특별시 강북구 한천로139길,02-944-3025,37.639,127.026
2,수유2동주차장,서울특별시 강북구 한천로160길 40,02-900-7443,37.646,127.022
3,우이동주차장,서울특별시 강북구 삼양로155길 33,02-944-3049,37.657,127.012
4,송천동주차장,서울특별시 강북구 숭인로7나길 23,02-944-3039,37.615,127.025
5,대지시장길주차장,서울특별시 강북구 솔샘로 243-8,02-944-3035,37.620,127.020
6,송중동주차장,서울특별시 강북구 월계로7길 36,02-944-3038,37.612,127.034
7,구세군길주차장,서울특별시 강북구 인수봉로20가길 21,02-944-3025,37.626,127.014
8,번2동주차장,서울특별시 강북구 오현로21길 6,02-944-3025,37.627,127.037
9,색동공원주차장,서울특별시 강북구 삼양로80나길 56,02-985-3492,37.633,127.021
10,인수동주차장,서울특별시 강북구 삼양로92길 34,02-944-3045,37.635,127.019
11,송중동(임시)주차장,서울특별시 강북구 도봉로8길 67,02-944-3025,37.611,127.034
12,교통광장주차장,서울특별시 강북구 삼양로 678,02-944-3027,37.662,127.008
13,시범주차장,서울특별시 강북구 한천로139가길 10,02-944-3029,37.640,127.026
14,으뜸공원주차장,서울특별시 강북구 삼양로54길 133,02-944-3025,37.620,127.028
15,벽산주차장,서울특별시 강북구 삼각산로 140,02-944-3025,37.641,127.020
16,빨래골주차장,서울특별시 강북구 수유로 30,02-944-3025,37.633,127.019
17,아카데미주차장,서울특별시 강북구 419로25길,02-944-3025,37.635,127.019
18,큰마을길주차장,서울특별시 강북구 삼양로54길 125,02-944-3025,37.624,127.025
19,나눔터길주차장,서울특별시 강북구 수유로 47,02-944-3025,37.635,127.019
20,가오천주차장,서울특별시 강북구 한천로150길 46,02-944-3025,37.644,127.025
21,교육청길주차장,서울특별시 강북구 도봉로20가길 3,02-944-3025,37.619,127.030
22,어울림소공원주차장,서울특별시 강북구 오현로 56,02-944-3025,37.619,127.036
23,수유마을시장주차장,서울특별시 강북구 도봉로69길 27,02-944-3053,37.631,127.022
24,번동햇살주차장,서울특별시 강북구 오현로21길 84,02-944-3044,37.625,127.033
25,수유쌈지주차장,서울특별시 강북구 도봉로 265,02-944-3025,37.632,127.024
26,미아동주차장,서울특별시 강북구 도봉로61길 46,02-944-3048,37.629,127.022
27,삼양마을공원주차장,서울특별시 강북구 삼양로47길 15,02-944-3047,37.623,127.018
28,청암주차장,서울특별시 강북구 솔매로22가길 20,02-944-3025,37.625,127.015
29,수유일공원주차장,서울특별시 강북구 삼양로79길 5,02-944-3042,37.631,127.017
30,삼양시장길주차장,서울특별시 강북구 솔매로7가길,02-944-3025,37.626,127.016
31,가오리주차장,서울특별시 강북구 삼양로107길 30,02-944-3046,37.642,127.015
32,냉천길주차장,서울특별시 강북구 삼양로 230-12,02-944-3040,37.624,127.020
33,은혜(무인)주차장,서울특별시 강북구 삼양로67길 16,02-944-3025,37.628,127.017
34,오패산주차장,서울특별시 강북구 도봉로34길 54,02-944-3041,37.622,127.031
35,DDP동측(양쪽),서울특별시 중구 을지로 281 (을지로7가),02-2290-6449,37.566,127.010
36,DDP북측 마장로,서울특별시 중구 신당동 222-3,02-2290-6449,37.568,127.011
37,가마산고가밑,서울특별시 구로구 구로동 414-13,031-405-8808,37.493,126.883
38,가산동 금천교,서울특별시 금천구 가산동 677,031-405-8808,37.466,126.887
39,가양3동,서울특별시 강서구 가양동 1488-12,02-2663-6209,37.561,126.860
40,가양라이품,서울특별시 강서구 강서로 515,02-2290-6449,37.571,126.842
41,개봉역(남단),서울특별시 구로구 개봉동 403-31,031-405-8808,37.493,126.856
